test_prop	valid	lng	ED	NED	B3_F1
0.1	1	loss	2.5583765506744385
0.1	1	ProtoBurmish	0.9259	0.2426	0.8111
0.1	1	ProtoPurus	0.25	0.0468	0.9472
0.1	1	ProtoLalo	0.624	0.1963	0.7361
0.1	1	ProtoBai	0.7609	0.1909	0.7607
0.1	1	ProtoKaren	0.6111	0.1523	0.8461
0.1	1	Latin	1.347	0.1635	0.765
0.1	1	runtime	0.3038
0.1	1	samples_per_second	2202.068
0.1	1	steps_per_second	13.166
0.1	2	loss	2.4828453063964844
0.1	2	ProtoBurmish	0.8519	0.2086	0.7954
0.1	2	ProtoPurus	0.4	0.0762	0.909
0.1	2	ProtoLalo	0.728	0.23	0.672
0.1	2	ProtoBai	1.0	0.2326	0.7164
0.1	2	ProtoKaren	0.5278	0.1444	0.872
0.1	2	Latin	1.3301	0.1667	0.7694
0.1	2	runtime	0.3036
0.1	2	samples_per_second	2203.405
0.1	2	steps_per_second	13.174
0.1	3	loss	2.6980605125427246
0.1	3	ProtoBurmish	1.2593	0.3012	0.7068
0.1	3	ProtoPurus	0.5	0.0958	0.8713
0.1	3	ProtoLalo	0.672	0.2032	0.7228
0.1	3	ProtoBai	0.9783	0.2467	0.7355
0.1	3	ProtoKaren	0.4722	0.1167	0.8772
0.1	3	Latin	1.3373	0.161	0.7642
0.1	3	runtime	0.3021
0.1	3	samples_per_second	2214.223
0.1	3	steps_per_second	13.239
0.1	4	loss	2.4816911220550537
0.1	4	ProtoBurmish	1.0	0.2562	0.8079
0.1	4	ProtoPurus	0.6	0.1096	0.8682
0.1	4	ProtoLalo	0.624	0.1893	0.7341
0.1	4	ProtoBai	1.1304	0.2833	0.6818
0.1	4	ProtoKaren	0.8611	0.2273	0.7988
0.1	4	Latin	1.4169	0.1741	0.7523
0.1	4	runtime	0.2971
0.1	4	samples_per_second	2252.014
0.1	4	steps_per_second	13.465
0.1	5	loss	2.7886271476745605
0.1	5	ProtoBurmish	0.7037	0.1728	0.8307
0.1	5	ProtoPurus	0.4	0.0788	0.8761
0.1	5	ProtoLalo	0.648	0.2053	0.7367
0.1	5	ProtoBai	1.0	0.2574	0.6972
0.1	5	ProtoKaren	0.5278	0.1375	0.8904
0.1	5	Latin	1.4	0.1709	0.7592
0.1	5	runtime	0.3002
0.1	5	samples_per_second	2228.283
0.1	5	steps_per_second	13.323
0.1	6	loss	2.633568286895752
0.1	6	ProtoBurmish	1.037	0.2543	0.7472
0.1	6	ProtoPurus	0.3	0.0625	0.9261
0.1	6	ProtoLalo	0.808	0.2409	0.6631
0.1	6	ProtoBai	0.9783	0.2464	0.7159
0.1	6	ProtoKaren	0.5833	0.1421	0.8394
0.1	6	Latin	1.3566	0.1652	0.7607
0.1	6	runtime	0.3031
0.1	6	samples_per_second	2207.211
0.1	6	steps_per_second	13.197
0.1	7	loss	2.668123483657837
0.1	7	ProtoBurmish	1.0	0.2506	0.7686
0.1	7	ProtoPurus	0.45	0.0688	0.8968
0.1	7	ProtoLalo	0.632	0.1893	0.7265
0.1	7	ProtoBai	1.0435	0.2638	0.7089
0.1	7	ProtoKaren	0.7222	0.1833	0.8277
0.1	7	Latin	1.2482	0.1495	0.781
0.1	7	runtime	0.299
0.1	7	samples_per_second	2237.333
0.1	7	steps_per_second	13.377
0.1	8	loss	2.5496628284454346
0.1	8	ProtoBurmish	0.963	0.2302	0.7819
0.1	8	ProtoPurus	0.8	0.1471	0.8042
0.1	8	ProtoLalo	0.68	0.2063	0.6997
0.1	8	ProtoBai	1.0652	0.2703	0.7016
0.1	8	ProtoKaren	0.6111	0.1519	0.856
0.1	8	Latin	1.3253	0.1597	0.7628
0.1	8	runtime	0.3082
0.1	8	samples_per_second	2170.772
0.1	8	steps_per_second	12.979
0.1	9	loss	2.477173328399658
0.1	9	ProtoBurmish	0.7407	0.1759	0.8057
0.1	9	ProtoPurus	0.6	0.1164	0.8711
0.1	9	ProtoLalo	0.664	0.1927	0.7414
0.1	9	ProtoBai	0.8478	0.2181	0.7483
0.1	9	ProtoKaren	0.3889	0.1037	0.8896
0.1	9	Latin	1.2024	0.1486	0.7899
