test_prop	valid	lng	ED	NED	B3_F1
0.1	1	loss	3.2588422298431396
0.1	1	ProtoBurmish	0.6667	0.1802	0.8747
0.1	1	ProtoPurus	0.25	0.0483	0.9391
0.1	1	ProtoLalo	0.736	0.2316	0.7066
0.1	1	ProtoBai	0.6087	0.1543	0.7919
0.1	1	ProtoKaren	0.5833	0.1333	0.8588
0.1	1	Latin	1.359	0.1658	0.7657
0.1	1	runtime	0.4889
0.1	1	samples_per_second	1368.442
0.1	1	steps_per_second	8.182
0.1	2	loss	3.1941730976104736
0.1	2	ProtoBurmish	0.8148	0.1975	0.8309
0.1	2	ProtoPurus	0.4	0.0762	0.9078
0.1	2	ProtoLalo	0.712	0.2253	0.7029
0.1	2	ProtoBai	1.0652	0.2453	0.7045
0.1	2	ProtoKaren	0.4722	0.1329	0.8638
0.1	2	Latin	1.2145	0.1507	0.7846
0.1	2	runtime	0.4865
0.1	2	samples_per_second	1375.157
0.1	2	steps_per_second	8.222
0.1	3	loss	3.5517570972442627
0.1	3	ProtoBurmish	1.1111	0.2531	0.7222
0.1	3	ProtoPurus	0.7	0.1383	0.8349
0.1	3	ProtoLalo	0.688	0.21	0.7182
0.1	3	ProtoBai	0.8261	0.2181	0.7371
0.1	3	ProtoKaren	0.4722	0.1218	0.8828
0.1	3	Latin	1.2482	0.1487	0.7796
0.1	3	runtime	0.4762
0.1	3	samples_per_second	1404.929
0.1	3	steps_per_second	8.4
0.1	4	loss	3.2176098823547363
0.1	4	ProtoBurmish	0.8148	0.1932	0.844
0.1	4	ProtoPurus	0.5	0.0873	0.8933
0.1	4	ProtoLalo	0.608	0.1853	0.7578
0.1	4	ProtoBai	0.9348	0.2341	0.7262
0.1	4	ProtoKaren	0.6944	0.1843	0.8157
0.1	4	Latin	1.3157	0.1607	0.7715
0.1	4	runtime	0.4705
0.1	4	samples_per_second	1421.911
0.1	4	steps_per_second	8.502
0.1	5	loss	3.521718978881836
0.1	5	ProtoBurmish	0.3704	0.0963	0.9235
0.1	5	ProtoPurus	0.45	0.0862	0.8754
0.1	5	ProtoLalo	0.656	0.206	0.7176
0.1	5	ProtoBai	0.8261	0.204	0.7689
0.1	5	ProtoKaren	0.4167	0.1014	0.9092
0.1	5	Latin	1.388	0.1679	0.7609
0.1	5	runtime	0.4847
0.1	5	samples_per_second	1380.271
0.1	5	steps_per_second	8.253
0.1	6	loss	3.188283920288086
0.1	6	ProtoBurmish	0.963	0.2333	0.7916
0.1	6	ProtoPurus	0.25	0.05	0.9285
0.1	6	ProtoLalo	0.744	0.2252	0.6904
0.1	6	ProtoBai	0.8478	0.2105	0.748
0.1	6	ProtoKaren	0.4167	0.1	0.8553
0.1	6	Latin	1.3542	0.163	0.7626
0.1	6	runtime	0.4911
0.1	6	samples_per_second	1362.348
0.1	6	steps_per_second	8.146
0.1	7	loss	3.3742220401763916
0.1	7	ProtoBurmish	0.5926	0.1469	0.8627
0.1	7	ProtoPurus	0.5	0.0846	0.8917
0.1	7	ProtoLalo	0.64	0.1927	0.7425
0.1	7	ProtoBai	0.913	0.2272	0.72
0.1	7	ProtoKaren	0.7778	0.1921	0.8203
0.1	7	Latin	1.2048	0.1443	0.7889
0.1	7	runtime	0.4757
0.1	7	samples_per_second	1406.478
0.1	7	steps_per_second	8.409
0.1	8	loss	3.225107431411743
0.1	8	ProtoBurmish	0.5185	0.1235	0.8427
0.1	8	ProtoPurus	0.65	0.1242	0.8583
0.1	8	ProtoLalo	0.72	0.2156	0.7006
0.1	8	ProtoBai	0.8913	0.2243	0.7302
0.1	8	ProtoKaren	0.4722	0.1088	0.873
0.1	8	Latin	1.2867	0.157	0.7717
0.1	8	runtime	0.4972
0.1	8	samples_per_second	1345.613
0.1	8	steps_per_second	8.046
0.1	9	loss	3.1677534580230713
0.1	9	ProtoBurmish	0.3704	0.0883	0.9124
0.1	9	ProtoPurus	0.5	0.0926	0.8878
0.1	9	ProtoLalo	0.688	0.1989	0.7339
0.1	9	ProtoBai	0.7174	0.1793	0.771
0.1	9	ProtoKaren	0.3333	0.0944	0.9123
0.1	9	Latin	1.0843	0.1342	0.8072
0.1	9	runtime	0.4823
0.1	9	samples_per_second	1387.013
0.1	9	steps_per_second	8.293
0.1	10	loss	3.2317864894866943
0.1	10	ProtoBurmish	0.7407	0.184	0.821
0.1	10	ProtoPurus	0.3	0.0542	0.9246
0.1	10	ProtoLalo	0.616	0.1865	0.7501
0.1	10	ProtoBai	0.8261	0.196	0.7669
0.1	10	ProtoKaren	0.6111	0.1435	0.8751
0.1	10	Latin	1.3229	0.1576	0.7727
0.1	10	runtime	0.4985
0.1	10	samples_per_second	1341.931
0.1	10	steps_per_second	8.024
0.5	1	loss	3.193725109100342
0.5	1	ProtoBurmish	0.8134	0.2102	0.7385
0.5	1	ProtoPurus	0.5051	0.0955	0.8503
0.5	1	ProtoLalo	0.6384	0.1961	0.6959
0.5	1	ProtoBai	0.7118	0.1821	0.7444
0.5	1	ProtoKaren	0.6209	0.1564	0.7943
0.5	1	Latin	1.3343	0.1623	0.7646
0.5	1	runtime	2.4784
0.5	1	samples_per_second	1348.434
0.5	1	steps_per_second	7.263
0.5	2	loss	3.2608938217163086
0.5	2	ProtoBurmish	0.9776	0.2432	0.6956
0.5	2	ProtoPurus	0.5152	0.0935	0.8466
0.5	2	ProtoLalo	0.7312	0.2238	0.6649
0.5	2	ProtoBai	0.8515	0.21	0.7061
0.5	2	ProtoKaren	0.6209	0.15	0.792
0.5	2	Latin	1.4467	0.1749	0.7487
0.5	2	runtime	2.359
0.5	2	samples_per_second	1416.707
0.5	2	steps_per_second	7.63
0.5	3	loss	3.3262457847595215
0.5	3	ProtoBurmish	0.9254	0.2367	0.7174
0.5	3	ProtoPurus	0.3939	0.076	0.8811
0.5	3	ProtoLalo	0.6848	0.2067	0.6827
0.5	3	ProtoBai	0.8384	0.2108	0.7036
0.5	3	ProtoKaren	0.6484	0.1647	0.8042
0.5	3	Latin	1.4554	0.1749	0.7472
0.5	3	runtime	2.377
0.5	3	samples_per_second	1405.962
0.5	3	steps_per_second	7.573
0.5	4	loss	3.229081392288208
0.5	4	ProtoBurmish	0.8582	0.2085	0.733
0.5	4	ProtoPurus	0.4545	0.0894	0.8662
