test_prop	valid	lng	ED	NED	B3_F1
0.10	0	loss	2.6193506717681885
0.10	0	[1]	0.9231	0.1981	0.7793
0.10	0	[10]	0.7188	0.1521	0.8277
0.10	0	[2]	0.7742	0.1684	0.833
0.10	0	[3]	0.9167	0.2327	0.8235
0.10	0	[4]	0.7143	0.1851	0.8211
0.10	0	[5]	1.6	0.5167	0.8537
0.10	0	[6]	0.6667	0.1495	0.837
0.10	0	[7]	1.4348	0.3284	0.7338
0.10	0	[8]	0.5357	0.123	0.8659
0.10	0	[9]	1.1	0.23	0.8166
0.10	0	[Albanian]	2.2941	0.699	0.5232
0.10	0	[English]	2.25	0.7542	0.5304
0.10	0	[French]	2.5714	0.7603	0.4981
0.10	0	[German]	2.3	0.69	0.5201
0.10	0	[Latin]	3.0476	0.7413	0.4341
0.10	0	[BelejeGonfoye]	1.25	0.2224	0.7354
0.10	0	[Fadashi]	1.15	0.1962	0.7765
0.10	0	[Maiyu]	1.1	0.185	0.8021
0.10	0	[Undulu]	1.25	0.2135	0.7582
0.10	0	[Kayah]	0.3947	0.1228	0.85
0.10	0	[Kayan]	0.6053	0.1566	0.9109
0.10	0	[Kayaw]	0.2368	0.0724	0.9264
0.10	0	[NorthernPao]	0.2895	0.0684	0.9284
0.10	0	[NorthernPwo]	0.6842	0.1816	0.8389
0.10	0	[ProtoKaren]	0.4737	0.1149	0.8912
0.10	0	[SouthernPao]	0.2105	0.0465	0.9356
0.10	0	[WesternBwe]	0.7632	0.2456	0.8137
0.10	0	[Dashi]	0.7727	0.2265	0.7764
0.10	0	[Ega]	0.5	0.1576	0.7996
0.10	0	[Enqi]	0.7424	0.2285	0.7943
0.10	0	[Gongxing]	0.9091	0.2591	0.7511
0.10	0	[Jinman]	0.6818	0.2121	0.7903
0.10	0	[Jinxing]	0.5455	0.1657	0.823
0.10	0	[Mazhelong]	0.6515	0.1927	0.825
0.10	0	[ProtoBai]	0.7727	0.2056	0.8189
0.10	0	[Tuoluo]	0.5909	0.1576	0.8256
0.10	0	[Zhoucheng]	0.4242	0.1288	0.8431
0.10	0	[BanPaw]	0.2	0.0667	0.9179
0.10	0	[ChaYeQing]	0.65	0.225	0.8459
0.10	0	[ChuDongGua]	1.0	0.4083	0.8071
0.10	0	[GuangKa]	0.4	0.1417	0.9342
0.10	0	[HtanHsan]	0.5	0.1917	0.8939
0.10	0	[KhunHawt]	0.4	0.175	0.8953
0.10	0	[MangBang]	0.45	0.1583	0.8766
0.10	0	[ManLoi]	0.8	0.3083	0.8368
0.10	0	[MengDan]	1.05	0.4167	0.8507
0.10	0	[NamHsan]	0.7	0.275	0.8505
0.10	0	[NanSang]	0.5	0.175	0.8635
0.10	0	[NoeLae]	0.2	0.0667	0.9285
0.10	0	[NyaungGone]	0.3	0.1	0.8888
0.10	0	[PangKham]	0.6	0.2083	0.8531
0.10	0	[PongNuea]	0.5	0.2167	0.9166
0.10	0	[XiangZhaiTang]	0.4	0.1583	0.9442
0.10	0	[cojubim]	0.6471	0.1716	0.8709
0.10	0	[jaru]	1.5	0.2762	0.6207
0.10	0	[kitemoka]	2.8333	0.4912	0.4588
0.10	0	[more]	0.7895	0.1643	0.7929
0.10	0	[orowin]	1.2105	0.2447	0.7252
0.10	0	[tapakura]	2.0526	0.3764	0.589
0.10	0	[tora]	1.6316	0.3279	0.5909
0.10	0	[urupa]	1.0526	0.2145	0.7389
0.10	0	[wanyam]	1.5789	0.3071	0.6443
0.10	0	[wari]	2.2105	0.3997	0.5925
0.10	0	[AchangLongchuan]	1.1522	0.304	0.6758
0.10	0	[Atsi]	1.2128	0.3213	0.6354
0.10	0	[Bola]	0.8182	0.2193	0.771
0.10	0	[Lashi]	1.8936	0.5248	0.5624
0.10	0	[Maru]	1.1739	0.3246	0.6449
0.10	0	[OldBurmese]	1.0513	0.3355	0.7139
0.10	0	[ProtoBurmish]	0.8085	0.2213	0.7937
0.10	0	[Rangoon]	1.8511	0.5209	0.5086
0.10	0	[Xiandao]	1.4255	0.3844	0.5725
0.10	0	[Beijing]	0.4038	0.1032	0.8701
0.10	0	[Changsha]	0.8846	0.2516	0.7522
0.10	0	[Chaozhou]	1.2115	0.324	0.6528
0.10	0	[Chengdu]	0.2115	0.0574	0.9362
0.10	0	[Fuzhou]	0.9423	0.2446	0.7535
0.10	0	[Guangzhou]	1.1923	0.3256	0.724
0.10	0	[Hankou]	0.25	0.0849	0.9406
0.10	0	[Jinan]	0.2115	0.0705	0.9365
0.10	0	[Meixian]	0.7308	0.1913	0.7832
0.10	0	[Nanchang]	0.6731	0.1888	0.7799
0.10	0	[Shanghai]	0.8077	0.2404	0.7519
0.10	0	[Shuangfeng]	1.0385	0.2949	0.7382
0.10	0	[Suzhou]	0.8462	0.2295	0.748
0.10	0	[Taiyuan]	0.5385	0.1279	0.8288
0.10	0	[Wenzhou]	1.2692	0.375	0.6356
0.10	0	[Xiamen]	1.0	0.2593	0.7115
0.10	0	[XiAn]	0.2692	0.0833	0.9296
0.10	0	[Yangzhou]	0.6346	0.1753	0.8247
0.10	0	[ZhongyuanYinyun]	0.9231	0.2196	0.7757
0.10	0	[Duhumbi]	0.2391	0.0996	0.898
0.10	0	[Jerigaon]	0.2717	0.1214	0.8629
0.10	0	[Khispi]	0.2065	0.0833	0.8968
0.10	0	[Khoina]	0.4783	0.2246	0.789
0.10	0	[Khoitam]	0.2935	0.1159	0.8333
0.10	0	[Rahung]	0.3261	0.1395	0.831
0.10	0	[Rupa]	0.25	0.1069	0.8798
0.10	0	[Shergaon]	0.2717	0.1178	0.8664
0.10	0	runtime	2.405
0.10	0	samples_per_second	1675.284
0.10	0	steps_per_second	6.653
0.30	0	loss	2.4842300415039062
