"test_prop"	"lng"	"ED"	"NED"	"B3_F1"
0.1	"cojubim"	1.412	0.307	0.687
0.1	"jaru"	1.375	0.253	0.662
0.1	"kitemoka"	2.833	0.489	0.466
0.1	"more"	0.947	0.213	0.7
0.1	"orowin"	0.947	0.182	0.769
0.1	"tapakura"	2	0.375	0.573
0.1	"tora"	1.737	0.323	0.608
0.1	"urupa"	1.368	0.266	0.662
0.1	"wanyam"	1.211	0.223	0.719
0.1	"wari"	1.842	0.324	0.6
0.1	1	0.769	0.172	0.779
0.1	10	0.875	0.185	0.766
0.1	2	0.484	0.103	0.865
0.1	3	1.083	0.223	0.756
0.1	4	0.714	0.177	0.8
0.1	5	1.4	0.45	0.799
0.1	6	0.833	0.193	0.771
0.1	7	1.391	0.324	0.738
0.1	8	0.536	0.124	0.882
0.1	9	0.85	0.2	0.871
0.1	"AchangLongchuan"	1.174	0.291	0.642
0.1	"Atsi"	1.085	0.279	0.635
0.1	"Bola"	0.682	0.19	0.772
0.1	"Lashi"	1.681	0.456	0.589
0.1	"Maru"	0.717	0.191	0.752
0.1	"OldBurmese"	0.615	0.199	0.77
0.1	"ProtoBurmish"	0.383	0.105	0.876
0.1	"Rangoon"	1.66	0.484	0.517
0.1	"Xiandao"	1.553	0.41	0.54
0.1	"BanPaw"	0.4	0.15	0.883
0.1	"ChaYeQing"	0.55	0.233	0.897
0.1	"ChuDongGua"	0.8	0.304	0.88
0.1	"GuangKa"	0.45	0.167	0.896
0.1	"HtanHsan"	0.55	0.208	0.931
0.1	"KhunHawt"	0.85	0.325	0.809
0.1	"MangBang"	0.35	0.142	0.938
0.1	"ManLoi"	0.65	0.258	0.87
0.1	"MengDan"	0.8	0.304	0.836
0.1	"NamHsan"	1.05	0.383	0.82
0.1	"NanSang"	0.5	0.208	0.92
0.1	"NoeLae"	0.25	0.1	0.932
0.1	"NyaungGone"	0.25	0.108	0.919
0.1	"PangKham"	0.45	0.175	0.884
0.1	"PongNuea"	0.5	0.217	0.927
0.1	"XiangZhaiTang"	0.45	0.175	0.93
0.1	"BelejeGonfoye"	1.4	0.26	0.728
0.1	"Fadashi"	1.1	0.207	0.789
0.1	"Maiyu"	1.15	0.208	0.771
0.1	"Undulu"	1	0.18	0.808
0.1	"Albanian"	2.471	0.744	0.452
0.1	"English"	1.8	0.647	0.618
0.1	"French"	2.286	0.725	0.448
0.1	"German"	1.95	0.593	0.586
0.1	"Latin"	2.619	0.64	0.438
0.1	"Dashi"	0.621	0.174	0.8
0.1	"Ega"	0.424	0.132	0.846
0.1	"Enqi"	0.47	0.139	0.817
0.1	"Gongxing"	0.545	0.151	0.809
0.1	"Jinman"	0.53	0.164	0.83
0.1	"Jinxing"	0.485	0.145	0.826
0.1	"Mazhelong"	0.576	0.178	0.825
0.1	"ProtoBai"	0.621	0.162	0.793
0.1	"Tuoluo"	0.318	0.086	0.885
0.1	"Zhoucheng"	0.318	0.104	0.864
0.1	"Kayah"	0.053	0.015	0.988
0.1	"Kayan"	0.474	0.114	0.895
0.1	"Kayaw"	0.132	0.035	0.979
0.1	"NorthernPao"	0.316	0.075	0.912
0.1	"NorthernPwo"	0.737	0.186	0.819
0.1	"ProtoKaren"	0.395	0.096	0.892
0.1	"SouthernPao"	0.237	0.05	0.926
0.1	"WesternBwe"	0.5	0.156	0.838
0.1	"Duhumbi"	0.63	0.243	0.689
0.1	"Jerigaon"	0.283	0.112	0.845
0.1	"Khispi"	0.63	0.257	0.701
0.1	"Khoina"	0.489	0.219	0.781
0.1	"Khoitam"	0.207	0.085	0.885
0.1	"Rahung"	0.315	0.123	0.821
0.1	"Rupa"	0.283	0.114	0.86
0.1	"Shergaon"	0.304	0.127	0.846
0.1	"Beijing"	0.154	0.041	0.95
0.1	"Changsha"	0.365	0.113	0.893
0.1	"Chaozhou"	1.327	0.345	0.618
0.1	"Chengdu"	0.173	0.048	0.943
0.1	"Fuzhou"	0.808	0.203	0.75
0.1	"Guangzhou"	0.596	0.162	0.783
0.1	"Hankou"	0.135	0.037	0.956
0.1	"Jinan"	0.135	0.045	0.959
0.1	"Meixian"	0.577	0.15	0.795
0.1	"Nanchang"	0.558	0.161	0.834
0.1	"Shanghai"	0.654	0.2	0.767
0.1	"Shuangfeng"	0.673	0.176	0.766
0.1	"Suzhou"	0.462	0.133	0.832
0.1	"Taiyuan"	0.25	0.062	0.914
0.1	"Wenzhou"	0.846	0.25	0.719
0.1	"Xiamen"	0.769	0.192	0.745
0.1	"XiAn"	0.231	0.071	0.928
