test_prop	valid	lng	ED	NED	B3_F1
0.10	0	loss	2.5699450969696045
0.10	0	[1]	0.8718	0.1821	0.7987
0.10	0	[10]	0.75	0.1586	0.8224
0.10	0	[2]	0.7742	0.1719	0.8375
0.10	0	[3]	1.0833	0.2571	0.7779
0.10	0	[4]	0.75	0.1881	0.8449
0.10	0	[5]	1.6	0.5067	0.827
0.10	0	[6]	0.7667	0.1756	0.8187
0.10	0	[7]	1.3043	0.3073	0.7745
0.10	0	[8]	0.5	0.114	0.8866
0.10	0	[9]	1.45	0.3083	0.755
0.10	0	[Albanian]	2.2941	0.7	0.4997
0.10	0	[English]	2.35	0.7833	0.5437
0.10	0	[French]	2.2857	0.731	0.4926
0.10	0	[German]	2.25	0.6475	0.5628
0.10	0	[Latin]	2.9048	0.7175	0.4574
0.10	0	[BelejeGonfoye]	1.45	0.2683	0.738
0.10	0	[Fadashi]	1.1	0.1987	0.7859
0.10	0	[Maiyu]	1.05	0.1845	0.8164
0.10	0	[Undulu]	1.1	0.1918	0.7787
0.10	0	[Kayah]	1.2368	0.3991	0.7596
0.10	0	[Kayan]	0.9737	0.257	0.7851
0.10	0	[Kayaw]	0.6579	0.2105	0.8651
0.10	0	[NorthernPao]	0.3684	0.0904	0.912
0.10	0	[NorthernPwo]	1.3158	0.3601	0.7287
0.10	0	[ProtoKaren]	0.6842	0.1715	0.8394
0.10	0	[SouthernPao]	0.5263	0.1364	0.8826
0.10	0	[WesternBwe]	1.4211	0.4474	0.7267
0.10	0	[Dashi]	0.9394	0.273	0.7371
0.10	0	[Ega]	0.6515	0.2068	0.7933
0.10	0	[Enqi]	0.7424	0.2285	0.8032
0.10	0	[Gongxing]	1.3636	0.4053	0.6632
0.10	0	[Jinman]	0.803	0.2513	0.7299
0.10	0	[Jinxing]	0.7576	0.2164	0.8127
0.10	0	[Mazhelong]	0.8939	0.2689	0.799
0.10	0	[ProtoBai]	0.9848	0.2596	0.7817
0.10	0	[Tuoluo]	0.9091	0.2409	0.7497
0.10	0	[Zhoucheng]	0.5152	0.1604	0.8192
0.10	0	[BanPaw]	0.45	0.1583	0.8841
0.10	0	[ChaYeQing]	0.7	0.275	0.8778
0.10	0	[ChuDongGua]	1.0	0.3833	0.8428
0.10	0	[GuangKa]	0.7	0.275	0.8883
0.10	0	[HtanHsan]	0.95	0.35	0.8476
0.10	0	[KhunHawt]	0.95	0.3583	0.8427
0.10	0	[MangBang]	0.75	0.3083	0.8533
0.10	0	[ManLoi]	0.95	0.3917	0.8619
0.10	0	[MengDan]	1.1	0.4292	0.8456
0.10	0	[NamHsan]	1.15	0.4333	0.8239
0.10	0	[NanSang]	0.7	0.2833	0.8837
0.10	0	[NoeLae]	0.5	0.175	0.8929
0.10	0	[NyaungGone]	0.35	0.125	0.92
0.10	0	[PangKham]	0.9	0.35	0.8174
0.10	0	[PongNuea]	0.8	0.3333	0.8441
0.10	0	[XiangZhaiTang]	0.75	0.2917	0.8801
0.10	0	[cojubim]	0.4118	0.1059	0.889
0.10	0	[jaru]	1.3125	0.2506	0.6927
0.10	0	[kitemoka]	2.8889	0.5139	0.4513
0.10	0	[more]	0.6842	0.1546	0.7936
0.10	0	[orowin]	1.3158	0.2619	0.7133
0.10	0	[tapakura]	2.4737	0.4683	0.5293
0.10	0	[tora]	1.6316	0.335	0.5955
0.10	0	[urupa]	1.0526	0.2033	0.7478
0.10	0	[wanyam]	1.7368	0.3276	0.6854
0.10	0	[wari]	2.5263	0.4413	0.6099
0.10	0	[AchangLongchuan]	1.4565	0.3714	0.6341
0.10	0	[Atsi]	1.5745	0.4053	0.5451
0.10	0	[Bola]	0.9545	0.2617	0.7123
0.10	0	[Lashi]	1.9574	0.5426	0.5544
0.10	0	[Maru]	1.5435	0.429	0.5976
0.10	0	[OldBurmese]	1.2051	0.3868	0.6767
0.10	0	[ProtoBurmish]	1.3404	0.3642	0.6744
0.10	0	[Rangoon]	2.2979	0.6252	0.441
0.10	0	[Xiandao]	1.6383	0.427	0.5728
0.10	0	[Beijing]	0.3077	0.0901	0.8978
0.10	0	[Changsha]	0.9615	0.2737	0.7828
0.10	0	[Chaozhou]	1.7115	0.4404	0.5593
0.10	0	[Chengdu]	0.4808	0.1183	0.8827
0.10	0	[Fuzhou]	1.3077	0.3266	0.67
0.10	0	[Guangzhou]	1.6154	0.4333	0.6502
0.10	0	[Hankou]	0.5577	0.1631	0.8472
0.10	0	[Jinan]	0.6731	0.225	0.8389
0.10	0	[Meixian]	0.8269	0.2221	0.7547
0.10	0	[Nanchang]	1.1154	0.3119	0.7124
0.10	0	[Shanghai]	1.4231	0.3875	0.6297
0.10	0	[Shuangfeng]	1.7692	0.4891	0.5909
0.10	0	[Suzhou]	1.1154	0.3103	0.7063
0.10	0	[Taiyuan]	1.0192	0.2506	0.77
0.10	0	[Wenzhou]	1.5577	0.4522	0.602
0.10	0	[Xiamen]	1.0962	0.2904	0.7357
0.10	0	[XiAn]	0.4423	0.141	0.8921
0.10	0	[Yangzhou]	0.9038	0.2526	0.7832
0.10	0	[ZhongyuanYinyun]	1.2115	0.2853	0.7337
0.10	0	[Duhumbi]	0.4348	0.1757	0.8121
0.10	0	[Jerigaon]	0.3696	0.1449	0.8175
0.10	0	[Khispi]	0.5543	0.2283	0.7425
0.10	0	[Khoina]	0.587	0.2717	0.7442
0.10	0	[Khoitam]	0.3152	0.1286	0.8341
0.10	0	[Rahung]	0.413	0.1703	0.8179
0.10	0	[Rupa]	0.3804	0.1612	0.8534
0.10	0	[Shergaon]	0.4891	0.2065	0.8115
0.10	0	runtime	1.8279
0.10	0	samples_per_second	2204.187
0.10	0	steps_per_second	8.753
0.30	0	loss	2.549826145172119
0.30	0	[1]	1.0198	0.2182	0.7146
0.30	0	[10]	1.0	0.2086	0.735
0.30	0	[2]	1.0933	0.2402	0.7479
0.30	0	[3]	1.3	0.3088	0.6963
0.30	0	[4]	0.9595	0.2408	0.7461
0.30	0	[5]	1.5455	0.4348	0.7606
0.30	0	[6]	0.8841	0.1984	0.7708
0.30	0	[7]	1.449	0.3354	0.6882
0.30	0	[8]	0.9315	0.2038	0.7447
0.30	0	[9]	1.825	0.3875	0.6553
0.30	0	[Albanian]	2.7083	0.7655	0.4775
0.30	0	[English]	2.3571	0.6417	0.4194
0.30	0	[French]	2.6667	0.7208	0.3628
0.30	0	[German]	2.7636	0.663	0.3889
0.30	0	[Latin]	2.7333	0.6636	0.4088
0.30	0	[BelejeGonfoye]	1.6393	0.2969	0.638
0.30	0	[Fadashi]	1.0656	0.2168	0.7203
